attack,alpha1,alpha2,spearman_rho,spearman_p,jaccard_top10
real_esrgan,0.05,0.1,0.9999542124542123,6.588739767446707e-127,1.0
real_esrgan,0.05,0.2,0.9999084249084248,1.4139799556674763e-117,1.0
real_esrgan,0.05,0.3,0.9999084249084248,1.4139799556674763e-117,1.0
real_esrgan,0.1,0.2,0.9999542124542123,6.588739767446707e-127,1.0
real_esrgan,0.1,0.3,0.9999542124542123,6.588739767446707e-127,1.0
real_esrgan,0.2,0.3,0.9999999999999998,0.0,1.0
jpeg_q50,0.05,0.1,0.9997710622710622,3.0599658706273734e-105,1.0
jpeg_q50,0.05,0.2,0.9994963369963369,1.2562776730356578e-94,1.0
jpeg_q50,0.05,0.3,0.9990384615384613,6.33606993382288e-86,1.0
jpeg_q50,0.1,0.2,0.9997252747252745,8.710562833470017e-103,1.0
jpeg_q50,0.1,0.3,0.9994505494505495,1.863125025890339e-93,1.0
jpeg_q50,0.2,0.3,0.9995421245421244,6.549398633684177e-96,1.0
