coefficient_pair,alpha,attack,n,nc_mean,nc_std,nc_ci95,ber_mean,ber_std,psnr_mean,ssim_mean
balanced,0.05,gaussian_blur,100,0.921875,0.0635018251739754,0.012600139796687908,0.0390625,0.0317509125869877,28.727176451338938,0.8431224690593926
balanced,0.05,jpeg_q50,100,0.996875,0.005382962595124087,0.0010680965631000826,0.0015625,0.002691481297562044,30.257245604929444,0.8635707273350155
balanced,0.05,none,100,0.9996484375,0.0012836046744948777,0.00025469501542683016,0.00017578125,0.000641802337247439,40.68545413982585,0.9829365069482062
balanced,0.05,real_esrgan,100,0.79984375,0.1124124068237101,0.02230506031882342,0.100078125,0.056206203411855046,29.16078947300464,0.8858831160053287
balanced,0.1,gaussian_blur,100,0.93296875,0.05532418207187837,0.010977517989967442,0.033515625,0.027662091035939185,28.722046538368282,0.8429066681457431
balanced,0.1,jpeg_q50,100,0.99787109375,0.004238321706941619,0.000840974977719024,0.001064453125,0.0021191608534708094,30.24470020907527,0.863266630153721
balanced,0.1,none,100,0.99978515625,0.0008279429563346312,0.0001642818448905748,0.000107421875,0.0004139714781673156,40.54221683017553,0.9825257643831322
balanced,0.1,real_esrgan,100,0.80861328125,0.11146924860208023,0.022117917265684812,0.095693359375,0.05573462430104011,29.152706326319603,0.8856861157936065
balanced,0.2,gaussian_blur,100,0.95193359375,0.04221505158459725,0.008376382096625291,0.024033203125,0.021107525792298625,28.71148740874412,0.842459704977497
balanced,0.2,jpeg_q50,100,0.998828125,0.003002758260882059,0.0005958123842758331,0.0005859375,0.0015013791304410303,30.218637570393895,0.8626307880299354
balanced,0.2,none,100,0.9998828125,0.0005425741778582312,0.00010765848811993659,5.859375e-05,0.00027128708892911553,40.25682240905625,0.9816745640309352
balanced,0.2,real_esrgan,100,0.82533203125,0.1088637715145738,0.02160093408528479,0.087333984375,0.0544318857572869,29.136157057237533,0.8852703884066428
balanced,0.3,gaussian_blur,100,0.96751953125,0.03033736682233952,0.006019591751538144,0.016240234375,0.01516868341116976,28.70055808604388,0.8419989573712391
balanced,0.3,jpeg_q50,100,0.999140625,0.002487936487768874,0.0004936605753501373,0.0004296875,0.0012439682438844368,30.190864719111076,0.8619655064050662
balanced,0.3,none,100,0.99990234375,0.00042781819054216863,8.488841058707988e-05,4.8828125e-05,0.0002139090952710843,39.9763455949854,0.9807897384118204
balanced,0.3,real_esrgan,100,0.840234375,0.10598881260887968,0.021030479865705526,0.0798828125,0.05299440630443984,29.118592170051244,0.8848339979234108
hf,0.05,gaussian_blur,100,0.97455078125,0.02708102129691021,0.005373462152360202,0.012724609375,0.0135405106484551,28.892151246716743,0.8516657207965151
hf,0.05,jpeg_q50,100,0.8996484375,0.08929041043436525,0.017717154599797624,0.05017578125,0.04464520521718264,30.523165533165738,0.8727266304870764
hf,0.05,none,100,0.99998046875,0.00019531249999999993,3.87542373356722e-05,9.765625e-06,9.765624999999999e-05,43.98812417250964,0.9887710679810797
hf,0.05,real_esrgan,100,0.829296875,0.10836026228262209,0.021501026929952906,0.0853515625,0.054180131141311046,29.4188125885942,0.8905086690057792
hf,0.1,gaussian_blur,100,0.9768359375,0.024976777359302288,0.004955934503232743,0.01158203125,0.012488388679651144,28.892045230551947,0.8516612566446173
hf,0.1,jpeg_q50,100,0.9015234375,0.08986698377944514,0.017831559260311665,0.04923828125,0.044933491889722565,30.520852978750444,0.8726669971824462
hf,0.1,none,100,0.99998046875,0.00019531249999999993,3.87542373356722e-05,9.765625e-06,9.765624999999999e-05,43.91551400792737,0.9886560641647744
hf,0.1,real_esrgan,100,0.8310546875,0.10853915636138098,0.021536523396314084,0.08447265625,0.05426957818069049,29.41745331225318,0.8904344124503336
hf,0.2,gaussian_blur,100,0.9809375,0.020988340839418525,0.004164542167924773,0.00953125,0.010494170419709263,28.891819659576658,0.8516511879158706
hf,0.2,jpeg_q50,100,0.90484375,0.09059802231468798,0.017976613165700837,0.047578125,0.04529901115734399,30.516518976571838,0.8725573352233432
hf,0.2,none,100,0.99998046875,0.00019531249999999993,3.87542373356722e-05,9.765625e-06,9.765624999999999e-05,43.77359138531021,0.9884248291521182
hf,0.2,real_esrgan,100,0.83419921875,0.10838440267114016,0.021505816906764445,0.082900390625,0.054192201335570074,29.414237034408913,0.8902780208353315
hf,0.3,gaussian_blur,100,0.98453125,0.017729123129375378,0.0035178426650069455,0.007734375,0.008864561564687689,28.89160121696801,0.8516413269391327
hf,0.3,jpeg_q50,100,0.90775390625,0.09047535413319446,0.017952273137186867,0.046123046875,0.04523767706659723,30.511814362981497,0.8724339080905225
hf,0.3,none,100,0.99998046875,0.00019531249999999993,3.87542373356722e-05,9.765625e-06,9.765624999999999e-05,43.631339955195934,0.9881865353922831
hf,0.3,real_esrgan,100,0.83771484375,0.1081688171933848,0.02146304007081664,0.081142578125,0.0540844085966924,29.41100845297956,0.8901244459826194
standard,0.05,gaussian_blur,100,0.8980078125,0.06949647252997133,0.01378960788694289,0.05099609375,0.03474823626498567,28.744151165540348,0.8438037558799499
standard,0.05,jpeg_q50,100,0.9940625,0.01973910859347567,0.003916667388037954,0.00296875,0.009869554296737835,30.241776172743503,0.8615086006881729
standard,0.05,none,100,0.99966796875,0.0011795767014326861,0.00023405360866791258,0.000166015625,0.000589788350716343,40.722475308907335,0.9823100601506566
standard,0.05,real_esrgan,100,0.77380859375,0.12426966617331368,0.024657797818907416,0.113095703125,0.06213483308665684,29.17244230385964,0.8855100427097545
standard,0.1,gaussian_blur,100,0.90966796875,0.06294255638996185,0.012489168736514627,0.045166015625,0.031471278194980926,28.739837616857997,0.8436043570695771
standard,0.1,jpeg_q50,100,0.9952734375,0.019253429705313695,0.003820298159746091,0.00236328125,0.009626714852656848,30.229330554483887,0.8611800732940855
standard,0.1,none,100,0.9996875,0.0011685822848659505,0.00023187207789546066,0.00015625,0.0005842911424329752,40.58195539522169,0.981885591475669
standard,0.1,real_esrgan,100,0.78326171875,0.12410887146804014,0.024625892660914507,0.108369140625,0.06205443573402008,29.16491803996836,0.8852936279319453
standard,0.2,gaussian_blur,100,0.92994140625,0.05150053833600346,0.01021882411821242,0.035029296875,0.02575026916800173,28.731013485571626,0.8431992470917932
standard,0.2,jpeg_q50,100,0.996328125,0.018132267487832723,0.0035978352520056947,0.0018359375,0.009066133743916361,30.20334652479372,0.8604962734185139
standard,0.2,none,100,0.99984375,0.000600551652176412,0.00011916247685516665,7.8125e-05,0.00030027582608820595,40.30283492291136,0.9810091260943367
standard,0.2,real_esrgan,100,0.80234375,0.12041183188381122,0.023892319799543205,0.098828125,0.06020591594190561,29.148745429114992,0.8848425386951098
standard,0.3,gaussian_blur,100,0.94841796875,0.039850688231253144,0.007907241112083782,0.025791015625,0.019925344115626572,28.721899630284664,0.8427838596430958
standard,0.3,jpeg_q50,100,0.99685546875,0.01711249119421137,0.0033954895111427495,0.001572265625,0.008556245597105687,30.176093657737887,0.8597828520191532
standard,0.3,none,100,0.9998828125,0.0005425741778582312,0.00010765848811993659,5.859375e-05,0.00027128708892911553,40.028656870194844,0.9801038502197207
standard,0.3,real_esrgan,100,0.81978515625,0.11590731161001903,0.02299852525094089,0.090107421875,0.05795365580500952,29.131547172944828,0.8843721973859081
