coeff_row,coeff_col,mean_abs_change,std_abs_change,mean_relative_change,stability_rank
0,0,60.97559969177242,38.230353504377064,0.04830370287567358,64
0,1,9.857146790002526,10.39822975005485,16449.035476870515,60
0,2,7.491921594841355,8.486776150024326,2740.113377444036,59
0,3,6.135450658807249,7.685769187388859,1780.7508664963093,55
0,4,5.412611251831063,7.338683238638714,1827.2209672368142,51
0,5,4.844920686535496,7.2290908539956265,135.0819957142251,47
0,6,4.4143434867501075,7.016059921797439,543.646676602086,43
0,7,4.0509726781789475,6.737994178823574,83.53633037242236,37
1,0,10.342938750098687,10.491560074109104,3283.5211005639117,61
1,1,6.716214982279553,6.538974674435036,4736.946807114075,57
1,2,5.639023806903525,5.688302298537196,3271.3857237187317,53
1,3,4.810159117524925,5.039559195169157,182.23914655629696,46
1,4,11.102471469004973,14.35624975739455,670.992742268121,62
1,5,3.9528734084507113,4.443786895878366,744.7330602697482,33
1,6,3.705189910471163,4.411805784792048,526.46694176009,29
1,7,3.54595258595537,4.517293107438579,696.3871736360795,24
2,0,7.401319274830011,8.07839566934582,2554.181889102246,58
2,1,5.596877667093891,5.634845730348988,1714.358356590558,52
2,2,4.937548145111409,5.023119706272896,1103.639267522156,48
2,3,4.36217854123433,4.571617504578079,1336.4013832980395,42
2,4,4.05357581205825,4.3389218206198645,170.1799334071888,38
2,5,3.6940764268342186,4.060820652930579,209.81890169333528,28
2,6,3.4635354077317557,3.9510905859101197,169.76802477064183,19
2,7,3.38563766184041,4.034722935377831,241.97675537310116,17
3,0,6.32817756249381,8.38822468747412,295.95924882833685,56
3,1,5.038603283131424,5.324482149571849,774.5548560285863,49
3,2,4.465895428678856,4.633183125161134,843.8440987326983,44
3,3,4.039594190614201,4.258453967691953,165.959252273492,36
3,4,3.802033178855839,4.096054540828764,154.86551175861058,31
3,5,3.5104532427306396,3.9191885287750576,682.848961483465,23
3,6,3.3327485552305696,3.7578288713056276,232.68056736077028,14
3,7,3.278320853630059,3.791652997413801,489.83459044909296,10
4,0,5.796959164428729,7.570453656565448,2129.361852012177,54
4,1,11.931849499773802,14.955991808573124,373.11164087748455,63
4,2,4.276585026342215,4.610783716935556,1173.6706520340524,40
4,3,3.991722411869619,4.403039536350095,16.811128858856726,35
4,4,3.6776459259033474,4.07441060721235,2227.051673310012,27
4,5,3.467041320269497,3.8665287326603006,76.73344396131785,20
4,6,3.2835862263472677,3.7442188475089986,210.18556838687005,11
4,7,3.196818519795163,3.7443163822759242,247.19878975560914,7
5,0,5.11764899269785,7.224750780785288,126.22435068170697,50
5,1,4.2685369135348274,5.023251731485702,467.5263518606742,39
5,2,3.8915800747241653,4.46942691748841,672.7342759364641,32
5,3,3.6261557016489596,4.178642468138623,294.6436567519828,25
5,4,3.490854132789379,3.924210479693358,15.425226895491758,21
5,5,3.285294676055212,3.6918705023700227,87.75361809356014,12
5,6,3.2083647132490376,3.673734092531568,447.57497883163177,8
5,7,3.130059058014902,3.7886456836263016,635.6729228669845,4
6,0,4.704029012615315,6.938648409677949,919.6668790938347,45
6,1,3.9571130892406665,5.2033446930836895,989.1871768887152,34
6,2,3.6644596109864125,4.381647286946369,350.9666220684929,26
6,3,3.4592740222497462,4.013615592721494,35.59063108853495,18
6,4,3.3570662131134035,3.8693922400188203,71.91736260762593,16
6,5,3.2574036107277173,3.7152763049231505,271.4541808595986,9
6,6,3.1703457075167627,3.829366304745096,192.11338624471767,5
6,7,3.094292646310546,3.7476770680178966,14.984712155156704,2
7,0,4.32501317672701,6.9492798333512935,340.4894710153641,41
7,1,3.783479737960949,5.24703528011961,306.4210819846379,30
7,2,3.4973785509231576,4.327595611437634,157.38911997263395,22
7,3,3.3556239775429484,3.9386057763497693,408.82091877952934,15
7,4,3.2973187906114054,3.8491361603209002,41.72681267468709,13
7,5,3.192190406002678,3.8052001171151817,575.6616009237516,6
7,6,3.1235390748938743,3.8774732565013608,364.2848778063292,3
7,7,3.0369538940707494,3.8673460208929864,91.86160058196701,1
