category,attack_name,mean_nc,mean_ber,sample_count
symmetric,real_esrgan,0.82068359375,0.089658203125,100
symmetric,jpeg_compression_q50,0.86634765625,0.066826171875,100
symmetric,gaussian_blur_5x5,0.9590625,0.02046875,100
symmetric,espcn_x4,0.99888671875,0.000556640625,100
near-symmetric,real_esrgan,0.856318359375,0.0718408203125,200
near-symmetric,jpeg_compression_q50,0.72134765625,0.139326171875,200
near-symmetric,gaussian_blur_5x5,0.9762890625,0.01185546875,200
near-symmetric,espcn_x4,0.99962890625,0.000185546875,200
asymmetric,real_esrgan,0.6885916573660714,0.1557041713169643,560
asymmetric,jpeg_compression_q50,0.8679722377232143,0.06601388113839286,560
asymmetric,gaussian_blur_5x5,0.7345772879464286,0.13271135602678572,560
asymmetric,espcn_x4,0.9960205078125,0.00198974609375,560
